ISBN,Titulo,Autor,Peso,Valor,Stock
8,Introduction to Algorithms,Thomas H. Cormen,1.2,120000,3
2,Artificial Intelligence: A Modern Approach,Stuart Russell,1.4,150000,2
3,Clean Code,Robert C. Martin,3,80000,4
6,The Pragmatic Programmer,Andrew Hunt,0.9,90000,2
2,Design Patterns,Erich Gamma,1.1,110000,1
4,Structure and Interpretation of Computer Programs,Harold Abelson,1.3,100000,1
7,Operating System Concepts,Abraham Silberschatz,2,130000,2
1,Computer Networks,Andrew S. Tanenbaum,1.6,125000,1
9,Database System Concepts,Abraham Silberschatz,1.7,140000,2
12,Compilers: Principles, Alfred V. Aho,1.2,115000,1
11,Introduction to Machine Learning,Ethem Alpaydin,1.0,105000,3
10,Deep Learning,Ian Goodfellow,1.3,160000,1
13,Python Crash Course,Eric Matthes,0.7,60000,5
14,Learning Python,Mark Lutz,1.8,95000,2
15,Effective Java,Joshua Bloch,5,98000,3
16,Refactoring,Martin Fowler,0.85,90000,2
18,The Art of Computer Programming,Donald E. Knuth,2.5,250000,1
17,Introduction to Statistical Learning,Gareth James,1.1,90000,2
20,Pattern Recognition and Machine Learning,Christopher Bishop,1.4,135000,1
19,Algorithms,Robert Sedgewick,1.6,145000,2
